TESS_time TESS_flux TESS_fluxerr
2.459124327041962650e+06 9.987649932489107707e-01 2.539098814473136553e-03
2.459124328430861700e+06 1.002929592760713806e+00 2.540985276282401849e-03
2.459124329819760751e+06 9.999364400117485285e-01 2.538610497534207148e-03
2.459124331208659802e+06 9.996423910517074907e-01 2.540677087466130992e-03
2.459124332597558852e+06 9.984735481244814137e-01 2.537194395586610338e-03
2.459124333986458369e+06 1.000927041201749468e+00 2.539004206058056556e-03
2.459124335375357419e+06 1.000749339059532561e+00 2.538153202454353219e-03
2.459124336764256470e+06 9.997026710761982571e-01 2.536779473716430956e-03
2.459124338153155986e+06 1.000491689352687619e+00 2.538371268314324521e-03
2.459124339542054571e+06 9.986855658998086138e-01 2.537293831018075461e-03
2.459124340930953622e+06 1.000421038771495352e+00 2.537334563894356586e-03
2.459124342319853138e+06 1.004439125887813367e+00 2.543095619660800093e-03
2.459124343708752189e+06 9.997235453766610824e-01 2.538648585913191782e-03
2.459124345097651239e+06 1.002859147925210914e+00 2.543546187693486883e-03
2.459124346486550756e+06 9.982177066121218356e-01 2.537180667556151840e-03
2.459124347875449341e+06 1.002314002033934504e+00 2.539408266789996288e-03
2.459124349264348391e+06 9.994335779866969638e-01 2.538649449973181139e-03
2.459124350653247442e+06 9.974003876102025545e-01 2.536045128230706661e-03
2.459124352042146958e+06 9.959219002380637065e-01 2.539315147213828255e-03
2.459124353431046009e+06 1.002078950474238672e+00 2.539369428371916586e-03
2.459124354819945060e+06 1.000004148144143734e+00 2.539533204070694439e-03
2.459124356208844576e+06 1.001429172528441880e+00 2.540960648512877174e-03
2.459124357597743161e+06 1.003327089465106514e+00 2.541167143409210714e-03
2.459124358986642212e+06 9.980034638473809228e-01 2.539214109601478208e-03
2.459124360375541262e+06 1.003036518170435043e+00 2.541964602919299411e-03
2.459124361764440779e+06 1.004043120012085843e+00 2.543130244498031413e-03
2.459124363153339829e+06 9.985979218386251688e-01 2.538043950510440998e-03
2.459124364542238880e+06 1.005696437888079497e+00 2.543912997065907438e-03
2.459124365931137465e+06 9.957098438149512010e-01 2.535037193379984302e-03
2.459124367320036516e+06 9.984321835589025085e-01 2.536870729075123287e-03
2.459124368708936032e+06 1.001642002726813807e+00 2.539483196502002969e-03
2.459124370097835083e+06 1.000787951046274715e+00 2.538885565197814172e-03
2.459124371486734133e+06 1.001240565792204551e+00 2.541198804749449525e-03
2.459124372875633184e+06 9.996610536681306280e-01 2.536968456497549519e-03
2.459124374264532235e+06 9.994437447207098479e-01 2.536980120597803756e-03
2.459124375653431285e+06 9.973889263339484890e-01 2.538765526207014279e-03
2.459124377042330336e+06 9.966930456275669981e-01 2.536102008573179207e-03
2.459124378431229386e+06 9.962687987663645384e-01 2.536449136925544336e-03
2.459124379820128437e+06 1.001877502056507607e+00 2.538786841511916914e-03
2.459124381209027488e+06 1.004098567130654374e+00 2.540442440050786569e-03
2.459124382597926538e+06 9.971637823211796370e-01 2.538047382451619725e-03
2.459124383986825123e+06 9.992399460281392587e-01 2.537146906088574069e-03
2.459124385375724640e+06 1.000682044401665971e+00 2.539060239293612371e-03
2.459124386764623690e+06 1.004499764724962274e+00 2.539427072499435625e-03
2.459124388153522741e+06 1.001981221085726848e+00 2.539533272715363381e-03
2.459124389542421792e+06 9.991772561677184639e-01 2.537992042226556218e-03
2.459124390931320842e+06 9.985015019437253336e-01 2.537204716197635421e-03
2.459124392320219893e+06 9.985061210698951140e-01 2.538694189876106785e-03
