mag,realbogus
18.878315,0.39
19.760721,0.22
18.782639,0.48
16.444035,0.33
18.352245,0.52
18.184052,0.29
20.220081,0.43
17.986027,0.96
18.001627,0.89
19.05852,0.55
18.660109,0.24
19.29338,0.55
19.29667,0.1
19.27695,0.08
18.50474,0.17
18.79331,0.16
19.02779,0.1
18.403522,0.12
18.252327,0.13
18.912535,0.17
19.179655,0.11
18.660845,0.06
18.470106,0.12
19.12415,0.09
17.926981,0.38
18.690273,0.2
18.204493,0.98
16.279581,0.92
19.051659,0.32
18.787693,0.41
18.898335,0.29
18.528297,0.29
18.276674,0.41
17.86793,0.78
18.940794,0.57
17.445795,0.99
18.880514,0.29
18.789742,0.7
19.053284,0.46
19.026731,0.36
19.143137,0.35
18.56874,0.55
17.360926,0.47
18.143461,0.28
16.038626,0.9
13.062606,0.4
16.079836,0.95
17.898542,0.34
16.244535,0.62
17.923355,0.69
17.87552,0.51
16.814732,0.1
18.454054,0.24
18.257118,0.25
18.833805,0.49
16.856775,0.4
18.820915,0.27
17.07837,0.26
17.686604,0.41
18.270765,0.52
17.509453,0.97
18.652342,0.57
18.324343,0.49
18.15384,0.7
19.145428,0.31
18.53736,0.57
19.179798,0.13
16.966898,0.41
17.742542,0.22
19.284554,0.45
17.831305,1.0
16.588034,0.93
18.903059,0.53
18.741188,0.46
18.923191,0.69
19.333973,0.38
18.594715,0.44
18.874535,0.6
18.493212,0.45
18.3028,0.51
19.828985,0.5
17.603168,0.8
17.026731,0.3
16.967396,0.71
18.461918,0.24
19.232925,0.36
18.486202,0.23
18.839325,0.44
18.77793,0.28
20.149773,0.29
17.578962,0.91
18.403399,0.5
20.13583,0.21
18.44632,0.21
16.807135,0.97
18.995947,0.22
19.762228,0.22
17.757334,0.87
18.961319,0.43
19.19768,0.52
16.50628,0.46
18.212017,0.66
18.14563,0.23
19.24412,0.6
17.050411,0.89
19.216742,0.26
19.100933,0.27
19.418945,0.51
18.476463,0.72
18.95903,0.59
19.490261,0.29
18.757256,0.25
18.806545,0.29
17.728186,0.56
18.595324,0.6
18.61627,0.23
18.676989,0.74
17.620846,0.8
19.098316,0.32
18.134382,0.62
18.563278,0.54
18.80962,0.24
18.969763,0.3
17.102772,0.34
18.542746,0.42
18.83243,0.65
18.925776,0.27
17.781277,0.54
19.22445,0.41
19.602968,0.27
19.308416,0.33
19.099941,0.33
18.666912,0.41
17.795078,0.98
18.840557,0.43
18.830696,0.23
18.7974,0.54
17.889668,0.55
17.350073,0.98
18.700262,0.47
18.415396,0.55
18.067913,0.87
16.634024,0.23
18.906519,0.67
18.312174,0.67
18.168943,0.5
18.338808,0.23
18.236465,0.31
17.609327,0.88
18.933844,0.53
17.250048,0.79
17.729301,0.85
19.09924,0.3
19.476168,0.23
18.824623,0.57
18.607933,0.57
18.94255,0.68
19.263823,0.06
17.404127,0.62
19.335299,0.25
18.99899,0.4
18.506624,0.47
18.51122,0.44
18.276606,0.4
18.29317,0.67
19.187933,0.4
18.455482,0.75
19.259977,0.48
18.565792,0.62
16.869997,0.91
17.238188,0.26
17.842102,0.62
16.063416,0.98
18.02864,0.41
18.401241,0.31
17.214434,0.36
17.92403,0.57
17.705725,0.55
18.68527,0.44
17.287554,0.57
18.26262,0.33
18.409737,0.22
18.238668,0.36
15.550096,0.97
18.055986,0.69
16.439762,0.23
18.316893,0.91
18.11104,0.57
18.653772,0.83
19.641968,0.37
18.37651,0.75
18.612644,0.32
19.033642,0.58
19.487904,0.24
19.10026,0.72
19.447954,0.28
17.295378,0.67
18.931929,0.59
18.72726,0.68
19.019165,0.36
19.150629,0.3
19.431183,0.41
19.037453,0.32
18.811611,0.52
18.132767,0.8
18.005459,0.82
18.513592,0.56
18.381773,0.71
19.328949,0.37
19.041748,0.44
17.982168,0.53
19.297358,0.25
18.612709,0.05
19.469004,0.18
19.851114,0.11
17.310999,0.04
19.842455,0.27
19.891161,0.22
18.852045,0.54
19.044756,0.56
19.455961,0.39
19.697464,0.34
19.183022,0.63
19.10668,0.49
18.828348,0.38
17.003613,0.74
18.362085,0.85
17.291145,0.88
17.601545,0.08
18.450596,0.27
18.282736,0.18
17.219303,0.97
18.546942,0.36
19.328028,0.15
18.555609,0.12
18.826672,0.2
19.212473,0.34
18.67423,0.53
17.595592,0.92
17.779346,0.53
19.032787,0.26
19.308897,0.27
19.087109,0.71
18.466654,0.55
19.40834,0.31
19.070833,0.69
18.75224,0.07
18.473005,0.1
18.86556,0.26
18.904501,0.48
17.875051,0.16
18.085989,0.34
19.41083,0.4
19.442616,0.56
17.206596,0.53
19.167967,0.61
18.743755,0.69
17.619158,0.44
19.353151,0.64
17.096958,0.96
19.517092,0.71
18.561855,0.91
18.846321,0.39
18.997108,0.21
19.198519,0.57
17.447645,0.68
19.83368,0.26
19.436237,0.46
18.380495,0.99
19.30063,0.55
18.06649,0.5
18.295395,0.83
18.569527,0.81
16.287014,0.95
19.754051,0.13
19.432384,0.34
19.389227,0.21
18.84325,0.82
19.115477,0.33
19.04762,0.54
18.573608,0.72
17.908325,0.97
18.596184,0.67
19.296255,0.64
18.560646,0.96
19.107616,0.48
19.58076,0.13
19.224937,0.63
17.706411,0.45
18.723866,0.61
18.984665,0.5
18.209803,0.92
18.623709,0.77
18.15514,0.95
19.140303,0.71
19.26526,0.63
17.999714,0.99
19.063126,0.52
19.020065,0.6
17.085964,0.74
13.942947,0.76
18.687426,0.53
17.846153,0.08
17.280933,0.62
18.399364,0.39
18.036346,0.46
16.87761,0.53
18.364616,0.6
19.316545,0.44
18.452246,0.39
17.59983,0.34
18.850977,0.7
18.707846,0.62
19.246208,0.51
19.266424,0.28
18.650475,0.28
17.050823,0.66
19.26294,0.65
19.127428,0.35
17.322588,0.28
17.836565,0.92
12.845964,0.12
16.570835,0.73
18.30445,0.84
17.574179,0.66
18.213985,0.39
19.760723,0.28
18.758709,0.3
19.179232,0.47
18.44293,0.65
16.506796,0.66
19.20534,0.09
18.158758,0.79
16.78753,0.46
20.510387,0.05
18.14025,0.24
18.92637,0.78
19.728048,0.61
19.030352,0.45
19.139252,0.33
17.491457,0.95
18.251047,0.92
19.595854,0.38
19.607456,0.09
19.756767,0.26
17.71006,0.79
18.350817,0.69
18.460636,0.78
19.33894,0.29
19.114376,0.13
20.155378,0.38
18.7257,0.49
18.924082,0.33
19.358099,0.18
19.540882,0.25
18.829756,0.17
15.765627,0.09
18.33354,0.26
19.331722,0.49
18.780851,0.23
18.519312,0.67
20.110464,0.21
19.136526,0.56
18.759024,0.91
19.380108,0.26
17.378838,0.46
19.300343,0.07
19.734676,0.76
18.7573,0.34
18.5301,0.44
19.039536,0.36
20.215237,0.18
16.15446,0.55
18.552486,0.21
19.386576,0.34
19.476765,0.32
19.055796,0.27
17.863297,0.3
19.967718,0.45
17.527996,0.56
18.619825,0.71
19.824392,0.34
19.808897,0.19
17.999477,0.7
18.528542,0.52
19.120243,0.55
18.990837,0.62
19.494127,0.18
19.24475,0.09
16.667381,0.98
18.022797,0.26
18.675587,0.36
19.277822,0.23
19.504114,0.47
19.400856,0.3
17.684605,0.41
19.329662,0.36
17.438375,0.74
18.401346,0.86
19.719795,0.14
19.496876,0.09
19.627111,0.04
15.597841,0.26
